province,type_property,property_id,subtype_property,postal_code,city,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,distance_from_train_stations_by_foot,distance_from_elementary_school_by_foot,distance_from_high_school_by_foot
brabant_wallon,house,vbe33003,residence,1480,tubize,329000.0,not_specified,not_specified,south_east,137.0,C,50.69054,4.2026,3,3.0,1,0,1,0,1,0,(information_not_available),527.0,377.0,2.0
brabant_wallon,house,vbe32875,residence,1430,rebecq_rognon,590000.0,normal,gas,not_specified,250.0,C,50.6659293,4.1326563,2,7.0,4,4,1,1,0,0,(information_not_available),3900.0,319.0,6100.0
brabant_wallon,house,vbe32874,mixed_building,1430,rebecq_rognon,590000.0,normal,gas,not_specified,250.0,C,50.6659293,4.1326563,2,7.0,4,4,1,1,0,0,(information_not_available),3900.0,319.0,6100.0
brabant_wallon,apartment,vbe32821,studio,1480,tubize,199000.0,not_specified,gas,not_specified,50.0,B,50.68618,4.202198,3,3.0,1,1,1,0,0,0,(information_not_available),1100.0,705.0,715.0
brabant_wallon,house,vbe32807,villa,1410,waterloo,2290000.0,normal,fuel_oil,not_specified,19.0,not_specified,50.71469,4.3991,4,5.0,5,3,1,1,1,0,possible_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe32806,villa,1410,waterloo,1250000.0,to_renovate,fuel_oil,not_specified,11.0,E,50.71469,4.3991,4,4.0,2,3,1,1,1,1,no_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe32805,villa,1410,waterloo,1450000.0,to_be_renovated,gas,not_specified,21.0,not_specified,50.71469,4.3991,4,8.0,5,2,1,1,0,1,no_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe32804,villa,1380,lasne,925000.0,normal,fuel_oil,not_specified,14.0,D,50.68736,4.48135,4,4.0,2,2,1,1,1,0,no_flooding_area,5200.0,527.0,4100.0
brabant_wallon,house,vbe32706,residence,1480,tubize,195000.0,normal,not_specified,not_specified,12.0,C,50.69054,4.2026,2,2.0,1,2,1,1,0,0,no_flooding_area,527.0,377.0,2.0
brabant_wallon,house,vbe32601,villa,1380,lasne,875000.0,excellent,fuel_oil,north,20.0,D,50.68736,4.48135,3,3.0,2,3,1,1,0,1,(information_not_available),5200.0,527.0,4100.0
brabant_wallon,house,vbe32596,residence,1440,braine_le_chateau,995000.0,excellent,fuel_oil,not_specified,15.0,C,50.6790699,4.2421661,4,4.0,2,2,1,1,1,0,no_flooding_area,3600.0,2100.0,2000.0
brabant_wallon,house,vbe32372,villa,1430,rebecq,495000.0,excellent,fuel_oil,not_specified,20.0,A,50.665625,4.132162,4,3.0,2,2,1,1,1,1,(information_not_available),3800.0,275.0,6100.0
brabant_wallon,house,vbe32344,residence,1325,chaumont_gistoux,1990000.0,excellent,gas,not_specified,30.0,B,50.67687,4.71943,4,5.0,6,5,1,1,1,0,no_flooding_area,9000.0,369.0,8600.0
brabant_wallon,house,vbe32342,residence,1390,grez_doiceau,1990000.0,excellent,gas,not_specified,30.0,B,50.7385816,4.6972809,4,5.0,6,5,1,1,1,0,no_flooding_area,3500.0,292.0,6100.0
brabant_wallon,house,vbe32341,residence,1340,ottignies,645000.0,excellent,gas,not_specified,310.0,C,50.665465,4.5669046,4,6.0,2,0,1,1,0,0,possible_flooding_area,883.0,45.0,575.0
brabant_wallon,apartment,vbe32312,apartment,1350,orp_le_grand,315000.0,new,electricity,not_specified,99.0,not_specified,50.70141,4.98938,2,2.0,1,1,1,0,0,0,(information_not_available),8600.0,335.0,7700.0
